1
06472332221,182,3
06706437611,570,3
06301532334,886,17
06708643054,550,6
06478638886,712,11
06479969086,853,17
06478717528,822,11
06301758769,486,17
06205484705,441,16
06472199559,420,16
06701940478,491,1
06479335261,248,7
06474056272,283,1
06706453327,849,18
06705673892,144,0
06703307129,2,9
06478520275,161,14
06479968325,59,2
06472344219,196,15
06708226078,10,14
06470967340,701,3
06206976297,563,0
06704532877,385,10
06479860336,749,17
06475914104,948,6
06203709356,672,5
06472393370,272,15
06701574729,660,4
06477921966,176,7
06472344256,171,0
2
06472332221,444,12
06706437611,522,6
06301532334,173,11
06708643054,411,11
06478638886,811,10
06479969086,327,5
06478717528,332,9
06301758769,714,11
06205484705,240,0
06472199559,616,13
06701940478,667,16
06479335261,423,19
06474056272,739,19
06706453327,76,12
06705673892,163,8
06703307129,426,17
06478520275,583,11
06479968325,696,19
06472344219,681,5
06708226078,707,18
06470967340,156,16
06206976297,932,11
06704532877,502,2
06479860336,291,5
06475914104,35,11
06203709356,516,14
06472393370,351,3
06701574729,449,3
06477921966,492,1
06472344256,48,18
3
06472332221,510,4
06706437611,910,2
06301532334,3,11
06708643054,692,5
06478638886,191,8
06479969086,418,17
06478717528,6,16
06301758769,265,4
06205484705,843,7
06472199559,133,6
06701940478,73,9
06479335261,891,11
06474056272,488,16
06706453327,222,13
06705673892,251,12
06703307129,208,14
06478520275,215,3
06479968325,848,2
06472344219,334,3
06708226078,527,8
06470967340,173,12
06206976297,480,19
06704532877,795,10
06479860336,383,15
06475914104,491,6
06203709356,80,3
06472393370,243,4
06701574729,260,1
06477921966,70,14
06472344256,607,8
4
06472332221,391,19
06706437611,501,14
06301532334,784,1
06708643054,623,6
06478638886,257,11
06479969086,456,19
06478717528,836,13
06301758769,221,14
06205484705,769,14
06472199559,117,4
06701940478,318,9
06479335261,365,0
06474056272,89,7
06706453327,919,3
06705673892,521,4
06703307129,931,13
06478520275,569,3
06479968325,414,15
06472344219,223,15
06708226078,83,18
06470967340,876,15
06206976297,584,3
06704532877,892,19
06479860336,202,18
06475914104,833,8
06203709356,843,0
06472393370,699,15
06701574729,147,8
06477921966,739,14
06472344256,12,14
5
06472332221,72,16
06706437611,451,7
06301532334,401,9
06708643054,212,4
06478638886,508,3
06479969086,237,17
06478717528,879,6
06301758769,558,19
06205484705,557,19
06472199559,606,5
06701940478,243,5
06479335261,250,3
06474056272,211,11
06706453327,514,4
06705673892,441,13
06703307129,692,2
06478520275,924,9
06479968325,46,3
06472344219,551,1
06708226078,6,15
06470967340,889,6
06206976297,483,3
06704532877,842,18
06479860336,338,0
06475914104,783,19
06203709356,82,16
06472393370,375,15
06701574729,105,0
06477921966,6,19
06472344256,18,15
6
06472332221,330,4
06706437611,959,18
06301532334,245,11
06708643054,364,17
06478638886,107,15
06479969086,452,8
06478717528,812,8
06301758769,992,5
06205484705,924,2
06472199559,428,5
06701940478,489,4
06479335261,204,10
06474056272,957,3
06706453327,952,4
06705673892,132,6
06703307129,604,18
06478520275,896,3
06479968325,587,11
06472344219,11,17
06708226078,677,8
06470967340,204,12
06206976297,982,12
06704532877,999,14
06479860336,17,3
06475914104,942,7
06203709356,645,11
06472393370,868,7
06701574729,710,0
06477921966,604,10
06472344256,647,6
7
06472332221,445,12
06706437611,911,17
06301532334,977,10
06708643054,434,8
06478638886,630,17
06479969086,186,12
06478717528,172,14
06301758769,877,3
06205484705,904,6
06472199559,816,0
06701940478,296,19
06479335261,580,18
06474056272,80,10
06706453327,32,5
06705673892,53,6
06703307129,591,19
06478520275,0,5
06479968325,508,3
06472344219,70,13
06708226078,595,18
06470967340,245,14
06206976297,786,6
06704532877,385,10
06479860336,192,16
06475914104,720,2
06203709356,36,5
06472393370,274,7
06701574729,441,13
06477921966,557,3
06472344256,528,3
8
06472332221,624,16
06706437611,263,10
06301532334,895,5
06708643054,889,12
06478638886,254,1
06479969086,319,16
06478717528,809,16
06301758769,69,18
06205484705,644,17
06472199559,295,16
06701940478,910,12
06479335261,253,9
06474056272,284,19
06706453327,909,8
06705673892,931,0
06703307129,720,18
06478520275,61,9
06479968325,920,13
06472344219,192,8
06708226078,713,17
06470967340,731,8
06206976297,92,7
06704532877,707,8
06479860336,20,19
06475914104,101,2
06203709356,867,18
06472393370,140,6
06701574729,740,13
06477921966,853,12
06472344256,815,13
9
06472332221,873,3
06706437611,360,3
06301532334,924,8
06708643054,896,13
06478638886,156,7
06479969086,865,18
06478717528,355,15
06301758769,716,18
06205484705,824,16
06472199559,318,2
06701940478,491,8
06479335261,130,15
06474056272,576,15
06706453327,696,5
06705673892,326,4
06703307129,695,17
06478520275,25,3
06479968325,54,6
06472344219,660,12
06708226078,842,8
06470967340,627,4
06206976297,859,14
06704532877,31,19
06479860336,303,10
06475914104,555,5
06203709356,339,3
06472393370,975,5
06701574729,855,18
06477921966,891,3
06472344256,249,8
10
06472332221,7,4
06706437611,237,7
06301532334,761,0
06708643054,412,18
06478638886,70,15
06479969086,411,6
06478717528,108,12
06301758769,670,6
06205484705,855,6
06472199559,276,7
06701940478,27,15
06479335261,851,9
06474056272,762,0
06706453327,655,8
06705673892,261,13
06703307129,688,2
06478520275,712,5
06479968325,602,12
06472344219,962,18
06708226078,666,16
06470967340,610,8
06206976297,341,10
06704532877,144,7
06479860336,202,2
06475914104,739,18
06203709356,603,0
06472393370,871,15
06701574729,855,4
06477921966,250,5
06472344256,388,17
11
06472332221,62,3
06706437611,764,13
06301532334,217,10
06708643054,29,7
06478638886,243,16
06479969086,278,19
06478717528,784,11
06301758769,215,9
06205484705,16,18
06472199559,752,9
06701940478,715,5
06479335261,564,2
06474056272,688,15
06706453327,743,5
06705673892,887,7
06703307129,293,12
06478520275,710,12
06479968325,389,2
06472344219,113,14
06708226078,375,10
06470967340,958,8
06206976297,338,16
06704532877,56,4
06479860336,89,2
06475914104,738,3
06203709356,846,3
06472393370,702,9
06701574729,984,8
06477921966,350,1
06472344256,65,16
12
06472332221,547,16
06706437611,83,2
06301532334,820,16
06708643054,636,16
06478638886,114,3
06479969086,199,9
06478717528,729,13
06301758769,397,6
06205484705,169,19
06472199559,636,14
06701940478,294,12
06479335261,407,1
06474056272,509,9
06706453327,766,19
06705673892,929,15
06703307129,375,8
06478520275,916,3
06479968325,317,14
06472344219,281,11
06708226078,808,4
06470967340,50,16
06206976297,677,6
06704532877,613,4
06479860336,936,10
06475914104,293,8
06203709356,303,9
06472393370,942,8
06701574729,816,15
06477921966,224,17
06472344256,590,6
